loan_account_number;installment_number;actual_payment_date;scheduled_payment_date;installment_amount;principal_component;interest_component;kkdf_component;bsmv_component;installment_status;remaining_principal;remaining_interest;remaining_kkdf;remaining_bsmv
LOAN_001716;6;;2025-12-18;8790;8320;0;0;0;A;9080;0;0;0
LOAN_004031;1;;2025-09-07;16120;17020;0;0;0;A;14000;0;0;0
LOAN_002483;1;;2025-07-25;243820;176790;21240.53;0;995.48;A;184530;21273.48;0;855.06
LOAN_002483;2;;2025-08-22;208560;182940;10925.28;0;649.72;A;180150;11521.16;0;623.62
LOAN_002483;3;;2025-09-22;243380;224470;6524.11;0;286.64;A;224600;6305.57;0;303.59
LOAN_001544;1;;2025-07-21;79150;60600;23270.35;0;1171.08;A;55490;24410.56;0;1164.45
LOAN_001544;2;;2025-08-18;87650;61740;17916.63;0;898.51;A;54340;17323.10;0;838.26
LOAN_001544;3;;2025-09-18;84950;55620;18667.73;0;797.58;A;61510;14612.78;0;884.98
LOAN_001544;4;;2025-10-17;70660;61110;10773.91;0;676.50;A;73830;11263.33;0;527.77
LOAN_001544;5;;2025-11-18;77830;61440;9295.99;0;500.86;A;65580;9726.59;0;387.41
LOAN_001544;6;;2025-12-18;70290;83600;4626.85;0;235.51;A;83670;3718.29;0;195.58
LOAN_003644;1;20241127;2024-11-29;27870;15380;7321.46;0;328.91;K;0;0;0;0
LOAN_003644;10;;2025-08-29;25850;21690;1810.52;0;110.85;A;22540;1896.82;0;113.53
LOAN_003644;11;;2025-09-29;24120;20840;1374.07;0;80.53;A;21890;1495.27;0;74.93
LOAN_003644;12;;2025-10-31;20860;26180;724.96;0;34.81;A;23350;681.48;0;32.77
LOAN_003644;2;20241229;2024-12-30;23060;15800;6186.19;0;299.35;K;0;0;0;0
LOAN_003644;3;20250127;2025-01-30;21690;16390;7011.82;0;307.73;K;0;0;0;0
LOAN_003644;4;20250225;2025-02-28;23570;20530;5341.29;0;305.62;K;0;0;0;0
LOAN_003644;5;20250331;2025-04-01;26210;18550;5230.83;0;270.61;K;0;0;0;0
LOAN_003644;6;20250429;2025-05-01;24480;19760;4214.38;0;243.40;K;0;0;0;0
LOAN_003644;7;20250528;2025-05-30;22950;17980;3561.94;0;201.48;K;0;0;0;0
LOAN_003644;8;20250630;2025-07-02;22010;22850;3679.72;0;205.30;K;0;0;0;0
LOAN_003644;9;;2025-07-30;27150;23230;2603.97;0;111.49;A;23540;2158.69;0;132.83
LOAN_003839;1;;2025-09-06;14810;13470;0;0;0;A;15570;0;0;0
LOAN_001198;1;;2025-09-08;5250;5800;0;0;0;A;4740;0;0;0
LOAN_003909;1;;2025-07-21;20050;21270;1876.78;0;79.31;A;19740;1886.56;0;103.96
LOAN_003909;2;;2025-08-18;20530;20320;853.40;0;39.56;A;20120;771.25;0;38.97
LOAN_004093;1;;2025-09-07;15940;16130;0;0;0;A;15080;0;0;0
LOAN_003267;1;;2025-07-25;222860;213030;33637.88;0;1914.89;A;187790;37871.62;0;1895.31
LOAN_003267;2;;2025-08-22;245340;240220;21509.26;0;1129.42;A;223790;22306.14;0;1112.84
LOAN_003267;3;;2025-09-22;263230;231210;11551.52;0;550.85;A;235780;12237.31;0;639.19
LOAN_004270;1;;2025-09-06;23540;22840;0;0;0;A;28040;0;0;0
LOAN_003339;1;;2025-07-21;16960;9790;5829.72;0;251.09;A;11240;5315.65;0;245.54
LOAN_003339;2;;2025-08-18;17080;11990;4227.45;0;192.48;A;10730;3952.61;0;201.23
LOAN_003339;3;;2025-09-18;14160;10270;4293.66;0;229.38;A;9820;4611.93;0;227.66
LOAN_003339;4;;2025-10-17;16300;11000;3170.73;0;142.22;A;13420;2944.55;0;145.18
LOAN_003339;5;;2025-11-18;14380;10980;3014.01;0;154.35;A;12870;2739.99;0;129.44
LOAN_003339;6;;2025-12-18;16420;15160;2125.53;0;96.62;A;11620;2425.81;0;117.62
LOAN_003339;7;;2026-01-16;14030;13670;1457.15;0;78.33;A;14720;1508.96;0;80.15
LOAN_003339;8;;2026-02-18;16000;14210;792.87;0;35.00;A;16900;770.34;0;43.84
LOAN_004287;1;20241209;2024-11-29;24990;15140;11192.23;0;705.24;K;0;0;0;0
LOAN_004287;10;;2025-08-29;31010;26230;4239.67;0;196.52;A;27950;3544.34;0;211.74
LOAN_004287;11;;2025-09-29;31860;26140;3092.57;0;147.63;A;26470;3095.89;0;152.17
LOAN_004287;12;;2025-10-30;28260;24700;1302.14;0;62.47;A;30820;1584.50;0;77.44
LOAN_004287;2;20241225;2024-12-30;28040;16980;12619.51;0;545.22;K;0;0;0;0
LOAN_004287;3;20250130;2025-01-30;28240;16560;12939.40;0;497.78;K;0;0;0;0
LOAN_004287;4;20250301;2025-02-28;25420;16210;10745.40;0;480.68;K;0;0;0;0
LOAN_004287;5;20250401;2025-04-01;26240;15820;10789.56;0;522.54;K;0;0;0;0
LOAN_004287;6;20250501;2025-05-01;30150;23080;8680.76;0;448.49;K;0;0;0;0
LOAN_004287;7;20250610;2025-05-30;30280;18400;7894.55;0;365.34;K;0;0;0;0
LOAN_004287;8;20250629;2025-07-02;30190;21050;6488.28;0;383.97;K;0;0;0;0
LOAN_004287;9;;2025-07-30;29340;24650;4665.71;0;212.32;A;25550;4313.16;0;220.01
LOAN_004068;1;;2025-07-21;8400;7720;0;0;0;A;8790;0;0;0
LOAN_004068;2;;2025-08-18;8610;8330;0;0;0;A;10150;0;0;0
LOAN_002030;1;;2025-07-24;17530;16440;0;0;0;A;16970;0;0;0
LOAN_002030;2;;2025-08-21;18580;18130;0;0;0;A;14240;0;0;0
LOAN_002030;3;;2025-09-21;15450;14780;0;0;0;A;17700;0;0;0
LOAN_004101;1;;2025-09-07;16430;13550;0;0;0;A;15510;0;0;0
LOAN_000635;1;;2025-07-25;39210;30890;7443.41;0;312.74;A;32860;6385.11;0;293.35
LOAN_000635;2;;2025-08-22;37450;34330;4257.21;0;235.58;A;36620;3981.75;0;196.83
LOAN_000635;3;;2025-09-22;38590;38200;2115.38;0;106.52;A;39210;2504.23;0;125.81
LOAN_002827;1;;2025-09-06;34120;41110;0;0;0;A;36440;0;0;0
LOAN_002026;1;20241030;2024-10-31;17710;8540;8701.37;0;368.21;K;0;0;0;0
LOAN_002026;10;;2025-07-31;18080;15360;2364.86;0;128.36;A;14970;2584.02;0;114.75
LOAN_002026;11;;2025-08-29;18830;16150;1431.72;0;74.64;A;12940;1480.70;0;78.67
LOAN_002026;12;;2025-09-29;16220;13850;840.43;0;44.41;A;16990;813.60;0;41.64
LOAN_002026;2;20241127;2024-11-29;14780;9100;7505.41;0;320.91;K;0;0;0;0
LOAN_002026;3;20241231;2024-12-31;16160;8840;6719.05;0;417.90;K;0;0;0;0
LOAN_002026;4;20250129;2025-01-31;15660;9780;7588.41;0;339.08;K;0;0;0;0
LOAN_002026;5;20250227;2025-02-28;17510;10640;5676.10;0;298.63;K;0;0;0;0
LOAN_002026;6;20250331;2025-04-02;17920;11630;6104.85;0;328.58;K;0;0;0;0
LOAN_002026;7;20250501;2025-05-02;16160;11830;4671.47;0;208.32;K;0;0;0;0
LOAN_002026;8;20250601;2025-06-02;15490;11420;4663.92;0;193.09;K;0;0;0;0
LOAN_002026;9;20250701;2025-07-03;17710;11350;2976.15;0;156.06;K;0;0;0;0
LOAN_003373;1;;2025-09-06;15010;12510;0;0;0;A;14850;0;0;0
LOAN_002690;1;;2025-07-25;79140;67500;26153.45;0;1188.22;A;59570;22320.18;0;1142.76
LOAN_002690;2;;2025-08-22;82790;63560;20747.56;0;883.98;A;64810;20354.93;0;882.73
LOAN_002690;3;;2025-09-23;94600;59110;18124.92;0;842.74;A;74360;20357.24;0;804.72
LOAN_002690;4;;2025-10-23;82640;77730;11300.59;0;629.92;A;64240;12938.90;0;677.20
LOAN_002690;5;;2025-11-21;86770;76980;9293.13;0;470.38;A;75040;9074.75;0;390.19
LOAN_002690;6;;2025-12-23;83770;89170;4422.12;0;279.69;A;74240;5057.69;0;238.94
LOAN_001361;1;;2025-09-02;4260;4420;0;0;0;A;4710;0;0;0
LOAN_004120;1;;2025-07-13;8080;7690;0;0;0;A;7630;0;0;0
LOAN_004120;2;;2025-08-10;7640;9010;0;0;0;A;8090;0;0;0
LOAN_004120;3;;2025-09-10;7790;9140;0;0;0;A;7540;0;0;0
LOAN_004120;4;;2025-10-10;7580;7440;0;0;0;A;7320;0;0;0
LOAN_004120;5;;2025-11-10;7530;7640;0;0;0;A;9280;0;0;0
LOAN_004120;6;;2025-12-10;7390;7730;0;0;0;A;9360;0;0;0
LOAN_003641;1;;2025-07-17;24860;14160;6725.81;0;378.42;A;14370;7652.13;0;419.83
LOAN_003641;2;;2025-08-14;20070;16960;5803.54;0;317.37;A;16010;6583.01;0;320.81
LOAN_003641;3;;2025-09-12;24440;19940;6039.99;0;258.39;A;16940;5090.71;0;318.26
LOAN_003641;4;;2025-10-14;24430;19000;4853.94;0;263.10;A;19570;5628.57;0;272.88
LOAN_003641;5;;2025-11-14;22270;20180;4743.32;0;229.54;A;16160;4293.13;0;192.39
LOAN_003641;6;;2025-12-12;25700;19030;3314.57;0;136.28;A;22910;2897.54;0;131.69
LOAN_003641;7;;2026-01-14;21650;22040;2156.52;0;117.61;A;20430;2279.68;0;115.13
LOAN_003641;8;;2026-02-14;20830;24970;1220.39;0;59.23;A;20000;1236.36;0;56.77
LOAN_001534;1;;2025-07-11;144400;154820;20923.46;0;1003.21;A;141490;17117.34;0;956.00
LOAN_001534;2;;2025-08-10;173790;143200;11284.96;0;506.86;A;169940;11239.01;0;561.37
LOAN_002166;1;;2025-09-08;34060;29080;0;0;0;A;32200;0;0;0
LOAN_000814;1;;2025-09-08;53000;46300;0;0;0;A;54880;0;0;0
LOAN_003258;1;;2025-07-14;1020;680;409.41;0;23.07;A;730;526.84;0;20.77
LOAN_003258;10;;2026-04-13;1100;1190;65.54;0;2.54;A;1180;59.95;0;2.46
LOAN_003258;2;;2025-08-11;1230;880;353.14;0;18.15;A;680;394.27;0;21.54
LOAN_003258;3;;2025-09-11;1190;690;412.87;0;18.23;A;740;443.55;0;17.77
LOAN_003258;4;;2025-10-10;1290;720;316.43;0;16.47;A;840;337.28;0;18.39
LOAN_003258;5;;2025-11-11;1240;900;330.44;0;14.20;A;920;278.54;0;14.91
LOAN_003258;6;;2025-12-11;1340;840;228.25;0;13.52;A;950;272.43;0;14.18
LOAN_003258;7;;2026-01-09;1120;1040;177.02;0;9.11;A;940;207.23;0;9.20
LOAN_003258;8;;2026-02-11;1140;1120;200.25;0;8.12;A;870;188.74;0;9.19
LOAN_003258;9;;2026-03-13;1090;1070;110.18;0;4.91;A;910;121.67;0;5.47
LOAN_003531;1;;2025-09-03;5410;5490;0;0;0;A;5430;0;0;0
LOAN_002954;1;;2025-07-16;2570;2010;844.25;0;41.11;A;1880;786.40;0;39.37
LOAN_002954;2;;2025-08-13;2950;2280;565.37;0;32.86;A;2170;669.39;0;32.28
LOAN_002954;3;;2025-09-13;2860;2110;671.21;0;25.38;A;1890;669.63;0;32.37
LOAN_002954;4;;2025-10-13;3030;2260;444.52;0;28.41;A;2260;504.02;0;28.61
LOAN_002954;5;;2025-11-13;2640;2150;419.83;0;21.02;A;2360;487.88;0;25.18
LOAN_002954;6;;2025-12-13;3040;2510;399.61;0;15.60;A;2320;343.88;0;16.71
LOAN_002954;7;;2026-01-13;2740;2550;251.39;0;14.45;A;2500;306.66;0;15.35
LOAN_002954;8;;2026-02-13;2850;2460;182.78;0;8.71;A;2690;196.50;0;10.59
LOAN_002954;9;;2026-03-15;2960;2680;103.48;0;4.42;A;2580;102.31;0;4.41
LOAN_003525;1;;2025-07-24;25560;25260;3241.18;0;166.10;A;24280;2955.75;0;178.37
LOAN_003525;2;;2025-08-21;30170;27250;1754.02;0;80.77;A;27130;1771.76;0;75.38
LOAN_003588;1;;2025-09-07;16160;15310;0;0;0;A;13280;0;0;0
LOAN_001120;1;;2025-09-04;40770;40750;0;0;0;A;40820;0;0;0
LOAN_003448;1;;2025-09-01;6840;5820;0;0;0;A;7070;0;0;0
LOAN_002123;1;;2025-08-31;33660;33780;0;0;0;A;29830;0;0;0
LOAN_003606;1;;2025-09-06;14860;14400;0;0;0;A;16080;0;0;0
LOAN_001864;1;;2025-07-25;5670;4430;1377.79;0;61.77;A;4970;1400.57;0;78.60
LOAN_001864;2;;2025-08-22;6080;4420;994.50;0;49.81;A;4370;1092.39;0;64.02
LOAN_001864;3;;2025-09-24;6670;4850;1120.85;0;52.13;A;4550;1158.70;0;55.62
LOAN_001864;4;;2025-10-24;6540;4980;789.81;0;38.00;A;4340;714.38;0;37.94
LOAN_001864;5;;2025-11-24;6260;4880;503.66;0;25.25;A;5850;506.72;0;28.45
LOAN_001864;6;;2025-12-24;6640;5550;235.35;0;12.57;A;5170;254.40;0;12.65
LOAN_002986;1;;2025-09-07;15540;13800;0;0;0;A;15140;0;0;0
LOAN_003001;1;;2025-09-11;5760;5840;0;0;0;A;6450;0;0;0
LOAN_000577;1;;2025-07-21;15930;11520;4947.48;0;255.87;A;11970;4299.46;0;234.06
LOAN_000577;2;;2025-08-18;18320;13030;3662.15;0;181.07;A;14950;3978.72;0;158.89
LOAN_000577;3;;2025-09-18;20050;13220;3404.92;0;156.05;A;14200;3019.44;0;142.69
LOAN_000577;4;;2025-10-17;18030;16420;2199.82;0;100.79;A;13590;2348.66;0;111.55
LOAN_000577;5;;2025-11-18;15370;17160;1803.28;0;81.72;A;15930;1767.78;0;91.11
LOAN_000577;6;;2025-12-18;19490;16480;829.69;0;44.02;A;15610;925.48;0;45.81
LOAN_003139;1;;2025-09-01;12620;15210;0;0;0;A;14500;0;0;0
LOAN_003451;1;;2025-09-07;23430;26880;0;0;0;A;23800;0;0;0
LOAN_000148;1;;2025-09-03;15440;14730;0;0;0;A;16170;0;0;0
LOAN_002554;1;;2025-09-04;6090;5680;0;0;0;A;5400;0;0;0
LOAN_003085;1;;2025-09-09;36340;45030;0;0;0;A;38030;0;0;0
LOAN_003683;1;;2025-09-07;9020;8320;0;0;0;A;9790;0;0;0
LOAN_000081;1;;2025-07-24;36140;22190;8307.74;0;416.52;A;21580;7272.03;0;342.83
LOAN_000081;2;;2025-08-21;28790;24030;6630.24;0;338.06;A;26390;5309.45;0;312.59
LOAN_000081;3;;2025-09-19;35780;30030;5174.09;0;221.38;A;30590;3993.77;0;227.05
LOAN_000081;4;;2025-10-21;30420;28670;3300.32;0;178.80;A;28350;3953.28;0;169.02
LOAN_000081;5;;2025-11-21;31390;28050;1816.35;0;88.73;A;30890;1668.19;0;94.53
LOAN_003287;1;;2025-07-22;5000;4590;1098.76;0;44.03;A;3940;1011.47;0;55.61
LOAN_003287;10;;2026-04-21;5400;5840;104.43;0;4.79;A;5330;112.17;0;5.74
LOAN_003287;2;;2025-08-19;5620;4850;817.40;0;37.73;A;5130;877.68;0;38.13
LOAN_003287;3;;2025-09-19;6010;4720;753.14;0;46.12;A;4040;928.70;0;38.20
LOAN_003287;4;;2025-10-19;6240;5510;688.97;0;36.61;A;4140;615.87;0;35.08
LOAN_003287;5;;2025-11-19;4770;4870;581.01;0;27.64;A;4330;694.49;0;28.36
LOAN_003287;6;;2025-12-19;4970;4330;508.09;0;28.41;A;5310;576.72;0;27.93
LOAN_003287;7;;2026-01-19;6310;5330;421.49;0;19.43;A;4610;384.27;0;19.41
LOAN_003287;8;;2026-02-19;5840;5390;360.15;0;14.68;A;5330;346.17;0;17.04
LOAN_003287;9;;2026-03-21;5340;5880;207.46;0;11.50;A;5600;245.99;0;11.26
LOAN_003501;1;;2025-09-04;6820;7010;0;0;0;A;6890;0;0;0
LOAN_001503;1;;2025-09-10;32100;39640;0;0;0;A;37000;0;0;0
LOAN_002703;1;;2025-09-06;14380;15960;0;0;0;A;13540;0;0;0
LOAN_002963;1;;2025-09-06;44590;47400;0;0;0;A;49870;0;0;0
LOAN_003379;1;;2025-08-28;10830;12360;0;0;0;A;9520;0;0;0
LOAN_003457;1;;2025-09-09;33230;33190;0;0;0;A;36390;0;0;0
LOAN_001234;1;;2025-09-07;4410;4220;0;0;0;A;3730;0;0;0
LOAN_004218;1;;2025-09-06;44740;37500;0;0;0;A;37570;0;0;0
LOAN_000832;1;;2025-09-07;5570;6070;0;0;0;A;5480;0;0;0
LOAN_003417;1;;2025-09-08;3780;2980;0;0;0;A;3400;0;0;0
LOAN_003568;1;;2025-09-04;19230;20840;0;0;0;A;17050;0;0;0
LOAN_003148;1;;2025-07-25;1820;1770;203.37;32.61;9.12;A;1550;221.12;26.59;9.63
LOAN_003148;2;;2025-08-22;2030;1500;165.33;23.90;8.11;A;1820;166.29;28.23;8.96
LOAN_003148;3;;2025-09-24;1980;1720;183.56;24.64;8.43;A;2020;165.04;25.74;9.20
LOAN_003148;4;;2025-10-24;1720;1580;109.97;15.83;5.20;A;1950;97.76;18.81;5.79
LOAN_003148;5;;2025-11-24;1830;2120;78.63;13.21;4.16;A;1700;73.39;12.84;4.19
LOAN_003148;6;;2025-12-25;1680;1770;36.45;6.75;1.74;A;1950;42.63;5.87;1.79
LOAN_003695;1;;2025-08-27;64230;82900;0;0;0;A;83970;0;0;0
LOAN_000411;1;;2025-09-07;14310;15640;0;0;0;A;15480;0;0;0
LOAN_000427;1;;2025-09-07;57410;57780;0;0;0;A;60750;0;0;0
LOAN_003234;1;;2025-09-06;15660;19160;0;0;0;A;18930;0;0;0
LOAN_003696;1;;2025-07-25;10580;6630;1877.10;0;78.20;A;6620;1788.74;0;100.55
LOAN_003696;2;;2025-08-22;8440;6740;1465.81;0;78.32;A;7970;1678.31;0;73.04
LOAN_003696;3;;2025-09-24;9980;6910;1285.91;0;69.95;A;8720;1332.26;0;58.62
LOAN_003696;4;;2025-10-24;8070;7980;816.11;0;43.60;A;9320;723.39;0;44.34
LOAN_003696;5;;2025-11-24;9870;9700;465.12;0;19.93;A;9950;406.72;0;23.92
LOAN_002950;1;;2025-09-01;45840;47020;0;0;0;A;47290;0;0;0
LOAN_003277;1;;2025-09-07;21630;19930;0;0;0;A;25960;0;0;0
LOAN_004049;1;;2025-09-08;26320;21920;0;0;0;A;28750;0;0;0
LOAN_004026;1;;2025-07-15;8600;9520;0;0;0;A;8280;0;0;0
LOAN_004026;2;;2025-08-12;7870;7870;0;0;0;A;7640;0;0;0
LOAN_004026;3;;2025-09-12;8920;8270;0;0;0;A;9480;0;0;0
LOAN_004026;4;;2025-10-12;7120;9130;0;0;0;A;7510;0;0;0
LOAN_004026;5;;2025-11-12;9210;9050;0;0;0;A;8550;0;0;0
LOAN_004026;6;;2025-12-12;7160;9430;0;0;0;A;8150;0;0;0
LOAN_001355;1;;2025-08-31;10540;11310;0;0;0;A;11340;0;0;0
LOAN_002177;1;;2025-09-06;8420;8960;0;0;0;A;10370;0;0;0
LOAN_000846;1;;2025-09-07;19940;18580;0;0;0;A;19280;0;0;0
LOAN_003407;1;;2025-09-07;21770;20280;0;0;0;A;20860;0;0;0
LOAN_003103;1;;2025-09-09;6060;6930;0;0;0;A;7680;0;0;0
LOAN_003650;1;;2025-07-23;3370;2520;808.29;0;46.77;A;2160;852.05;0;48.00
LOAN_003650;2;;2025-08-20;3560;2370;655.30;0;31.70;A;2490;609.65;0;32.35
LOAN_003650;3;;2025-09-19;2940;2470;635.59;0;34.01;A;2380;712.94;0;27.61
LOAN_003650;4;;2025-10-20;2840;3060;463.41;0;25.50;A;3100;442.96;0;21.22
LOAN_003650;5;;2025-11-20;3670;2790;312.60;0;17.83;A;2740;353.73;0;18.36
LOAN_003650;6;;2025-12-20;3570;2880;169.54;0;7.63;A;3240;186.68;0;8.74
LOAN_002202;1;;2025-09-09;44620;42830;0;0;0;A;47060;0;0;0
LOAN_003129;1;;2025-07-18;200980;117380;56275.91;0;2535.25;A;143550;54441.81;0;3091.05
LOAN_003129;2;;2025-08-15;162070;136220;38863.85;0;1978.89;A;144610;46306.28;0;1975.26
LOAN_003129;3;;2025-09-15;178360;155200;43719.12;0;1950.57;A;128810;43819.78;0;1796.48
LOAN_003129;4;;2025-10-15;197380;168820;26189.80;0;1321.67;A;150340;29710.11;0;1319.80
LOAN_003129;5;;2025-11-14;184690;146970;20619.90;0;966.26;A;154260;18293.75;0;1099.34
LOAN_003129;6;;2025-12-16;178780;181840;9431.43;0;544.59;A;178840;10128.98;0;556.19
LOAN_000671;1;;2025-07-23;9420;8560;878.26;0;44.12;A;10470;1084.98;0;46.45
LOAN_000671;2;;2025-08-20;10730;10160;422.38;0;24.66;A;9090;519.10;0;24.78
LOAN_003077;1;;2025-09-09;3270;3210;0;0;0;A;3940;0;0;0
LOAN_002410;1;;2025-09-10;70700;73350;0;0;0;A;77880;0;0;0
LOAN_003942;1;;2025-09-08;55380;50260;0;0;0;A;44670;0;0;0
LOAN_000921;1;;2025-09-07;16150;13630;0;0;0;A;13790;0;0;0
LOAN_000047;1;;2025-09-04;64830;59450;0;0;0;A;73300;0;0;0
LOAN_001506;1;;2025-07-25;107760;93810;26760.76;0;1231.17;A;80180;23301.11;0;1355.43
LOAN_001506;2;;2025-08-22;129660;108750;15925.41;0;758.57;A;104060;18664.50;0;777.12
LOAN_001506;3;;2025-09-24;118720;87510;12307.15;0;785.71;A;112470;15049.51;0;671.04
LOAN_001506;4;;2025-10-24;127920;94090;5887.71;0;341.85;A;106630;7563.06;0;317.73
LOAN_002252;1;;2025-09-06;22880;20590;0;0;0;A;23330;0;0;0
