loan_account_number;customer_type;customer_id;loan_product_type;loan_status_code;loan_status_flag;days_past_due;final_maturity_date;total_installment_count;outstanding_installment_count;paid_installment_count;first_payment_date;original_loan_amount;outstanding_principal_balance;nominal_interest_rate;total_interest_amount;kkdf_rate;kkdf_amount;bsmv_rate;bsmv_amount;grace_period_months;installment_frequency;loan_start_date;loan_closing_date;customer_region_code;sector_code;internal_credit_rating;default_probability;risk_class;customer_segment;internal_rating;external_rating
LOAN_000020;V;CUST_00019;4;A;A;0;20250914;0;0;0;20250914;2010;2000;0;0;0;0;5.42;0;0;1;20250701;;REGION_13;4;7;0.0429;1;1;5;300
LOAN_000021;V;CUST_00019;4;A;A;0;20250827;1;0;0;20250827;75500;72530;0;0;0;0;5.42;0;0;1;20250613;;REGION_13;4;10;0.0410;1;1;2;776
LOAN_000022;T;CUST_00020;4;A;A;45;20260318;12;9;3;20250417;285690;202830;5.90;6363.19;0;0;5.42;290.54;0;1;20250317;;REGION_6;4;1;0.0405;1;1;10;222
LOAN_000023;T;CUST_00021;4;A;A;0;20250817;2;1;0;20250718;43620;53880;5.17;1182.29;0;0;4.87;55.24;0;1;20250619;;REGION_7;4;6;0.0289;1;1;12;548
LOAN_000024;V;CUST_00004;4;A;A;0;20250911;0;1;0;20250911;13960;13790;0;0;0;0;5.49;0;0;1;20250628;;REGION_4;4;5;0.0114;1;1;6;520
LOAN_000025;T;CUST_00022;4;A;A;56;20260312;12;8;2;20250411;196160;161480;4.76;6610.64;0;0;5.01;298.07;0;1;20250312;;REGION_14;4;5;0.0416;1;1;3;579
LOAN_000026;T;CUST_00023;4;A;A;24;20260109;8;6;2;20250509;39550;28880;5.63;1560.87;0;0;4.55;79.02;0;1;20250411;;REGION_10;4;1;0.0156;1;1;3;111
LOAN_000027;T;CUST_00005;4;A;A;0;20250915;1;1;0;20250915;39390;48850;0;0;0;0;5.32;0;0;1;20250702;;REGION_5;4;4;0.0345;1;1;13;443
LOAN_000028;T;CUST_00024;4;A;A;0;20250828;1;1;0;20250728;36410;31310;4.06;162.86;0;0;5.29;9.56;0;1;20250630;;REGION_15;4;1;0.0232;1;1;15;742
LOAN_000029;V;CUST_00025;4;A;A;0;20250819;1;0;0;20250819;17590;16220;0;0;0;0;4.81;0;0;1;20250605;;REGION_16;4;9;0.0512;1;1;1;211
LOAN_000030;T;CUST_00026;4;A;A;0;20250821;1;1;0;20250724;16510;13920;4.84;235.73;14.94;46.27;4.63;13.90;0;1;20250623;;REGION_1;4;1;0.0214;1;1;15;719
LOAN_000031;V;CUST_00013;4;A;A;0;20250823;0;0;0;20250823;16410;17820;0;0;0;0;5.12;0;0;1;20250609;;REGION_9;4;4;0.0337;1;1;3;512
LOAN_000032;V;CUST_00027;4;A;A;59;20260411;12;10;1;20250509;93980;79800;2.51;2055.18;0;0;4.57;100.17;0;1;20250411;;REGION_7;4;6;0.0490;1;1;10;156
LOAN_000033;V;CUST_00013;4;A;A;0;20250906;0;1;0;20250906;18870;18530;0;0;0;0;5.35;0;0;1;20250623;;REGION_9;4;6;0.0171;1;1;13;569
LOAN_000034;V;CUST_00028;4;A;A;76;20260325;12;9;3;20250425;443450;349220;2.78;2838.42;0;0;4.66;119.81;0;1;20250325;;REGION_1;4;9;0.0295;1;1;15;442
LOAN_000035;V;CUST_00014;4;A;A;0;20250822;0;0;0;20250822;47250;44350;0;0;0;0;4.94;0;0;1;20250608;;REGION_1;4;5;0.0212;1;1;8;470
LOAN_000036;T;CUST_00005;4;A;A;0;20250902;1;0;0;20250902;9180;10060;0;0;0;0;4.52;0;0;1;20250619;;REGION_5;4;1;0.0308;1;1;5;974
LOAN_000037;V;CUST_00029;4;A;A;0;20260530;11;10;1;20250630;501710;537270;3.84;3013.10;0;0;4.86;138.73;0;1;20250530;;REGION_17;4;4;0.0453;1;1;6;275
LOAN_000038;T;CUST_00030;4;A;A;0;20260219;9;8;1;20250521;2530;2040;5.84;69.31;0;0;4.87;3.41;0;1;20250421;;REGION_18;4;7;0.0255;1;1;8;674
LOAN_000039;V;CUST_00004;4;A;A;0;20250719;0;0;0;20250719;42250;36520;0;0;0;0;4.65;0;0;1;20250505;;REGION_4;4;10;0.0127;1;1;4;201
LOAN_000040;T;CUST_00031;4;A;A;0;20250824;1;2;0;20250725;11910;11600;4.41;163.26;0;0;5.17;7.44;0;1;20250626;;REGION_19;4;8;0.0180;1;1;12;850
LOAN_000041;T;CUST_00032;4;A;A;0;20260311;10;8;3;20250411;268560;254540;2.51;4402.74;0;0;5.04;231.52;0;1;20250311;;REGION_4;4;8;0.0140;1;1;4;687
LOAN_000042;T;CUST_00033;4;A;A;0;20260216;9;7;0;20250618;30340;25430;3.88;524.78;14.71;79.09;4.90;28.35;0;1;20250518;;REGION_6;4;9;0.0479;1;1;6;355
LOAN_000043;V;CUST_00034;4;A;A;0;20250908;1;1;0;20250908;18000;18630;0;0;0;0;5.14;0;0;1;20250625;;REGION_17;4;8;0.0193;1;1;14;290
LOAN_000044;T;CUST_00035;4;A;A;0;20260311;9;9;0;20250611;55080;46890;1.92;693.95;0;0;5.01;36.96;0;1;20250511;;REGION_1;4;6;0.0117;1;1;14;646
LOAN_000045;T;CUST_00005;4;A;A;0;20250911;0;0;0;20250911;29260;36570;0;0;0;0;5.22;0;0;1;20250628;;REGION_5;4;9;0.0165;1;1;3;599
LOAN_000046;V;CUST_00036;4;A;A;0;20260409;12;9;1;20250509;112460;97020;1.71;1213.87;0;0;4.69;60.01;0;1;20250409;;REGION_1;4;2;0.0316;1;1;3;216
LOAN_000047;V;CUST_00037;4;A;A;0;20250904;0;0;0;20250904;73040;72270;0;0;0;0;5.40;0;0;1;20250621;;REGION_1;4;7;0.0409;1;1;8;105
LOAN_000048;V;CUST_00038;4;A;A;0;20250908;1;1;0;20250908;43360;53200;0;0;0;0;4.71;0;0;1;20250625;;REGION_1;4;6;0.0450;1;1;10;411
LOAN_000049;V;CUST_00039;4;A;A;0;20250924;2;2;0;20250725;68450;74350;6.76;1345.11;0;0;5.32;69.89;0;1;20250626;;REGION_20;4;4;0.0375;1;1;5;113
LOAN_000050;T;CUST_00040;4;A;A;83;20260311;12;8;3;20250411;267520;237760;5.78;8230.08;0;0;5.28;506.54;0;1;20250311;;REGION_16;4;10;0.0420;1;1;13;
LOAN_000051;T;CUST_00041;4;A;A;0;20260527;11;10;0;20250627;93080;87320;0;0;0;0;5.07;0;0;1;20250527;;REGION_17;4;2;0.0526;1;1;9;
LOAN_000052;V;CUST_00034;4;A;A;0;20250904;0;1;0;20250904;16400;19650;0;0;0;0;4.87;0;0;1;20250621;;REGION_17;4;7;0.0263;1;1;5;
LOAN_000053;T;CUST_00042;4;A;A;0;20251214;6;6;0;20250717;28340;32500;5.32;848.21;0;0;5.40;52.13;0;1;20250616;;REGION_6;4;6;0.0286;1;1;7;
LOAN_000054;T;CUST_00043;4;A;A;0;20260524;12;10;1;20250624;84010;80980;2.73;953.15;15.59;136.84;4.59;43.76;0;1;20250524;;REGION_6;4;5;0.0178;1;1;8;
LOAN_000055;T;CUST_00044;4;A;A;0;20260522;13;11;1;20250620;98180;84840;5.78;2808.40;0;0;4.89;106.40;0;1;20250522;;REGION_21;4;3;0.0144;1;1;4;
LOAN_000056;T;CUST_00045;4;A;A;0;20260221;8;7;0;20250724;33230;34310;5.35;519.47;0;0;4.89;25.71;0;1;20250623;;REGION_22;4;2;0.0266;1;1;8;
LOAN_000057;T;CUST_00046;4;A;A;60;20260409;11;9;2;20250509;137770;122860;1.89;2089.10;0;0;5.18;102.60;0;1;20250409;;REGION_23;4;9;0.0362;1;1;1;
LOAN_000058;V;CUST_00001;4;A;A;0;20250908;0;0;0;20250908;7860;7630;0;0;0;0;4.60;0;0;1;20250625;;REGION_1;4;10;0.0138;1;1;15;
LOAN_000059;V;CUST_00001;4;A;A;0;20250909;1;1;0;20250909;52070;45920;0;0;0;0;5.04;0;0;1;20250626;;REGION_1;4;9;0.0329;1;1;7;851
LOAN_000060;V;CUST_00047;4;A;A;0;20250908;1;1;0;20250908;22950;22920;0;0;0;0;5.23;0;0;1;20250625;;REGION_1;4;2;0.0302;1;1;1;306
LOAN_000061;T;CUST_00048;4;A;A;0;20251207;6;5;0;20250710;56070;46710;4.79;2033.82;0;0;4.75;107.60;0;1;20250609;;REGION_24;4;2;0.0238;1;1;1;453
LOAN_000062;V;CUST_00004;4;A;A;0;20250815;0;1;0;20250815;28850;28020;0;0;0;0;4.76;0;0;1;20250601;;REGION_4;4;10;0.0102;1;1;5;334
LOAN_000063;T;CUST_00049;4;A;A;0;20251209;6;5;0;20250711;15760;12830;5.33;570.06;0;0;4.75;26.19;0;1;20250611;;REGION_25;4;1;0.0521;1;1;14;492
LOAN_000064;T;CUST_00050;4;A;A;0;20250904;1;1;0;20250904;22210;28820;0;0;0;0;4.89;0;0;1;20250621;;REGION_1;4;4;0.0475;1;1;6;168
LOAN_000065;T;CUST_00051;4;A;A;0;20260429;9;10;0;20250728;97700;112750;4.49;693.80;14.39;102.23;5.33;34.52;0;1;20250630;;REGION_26;4;3;0.0117;1;1;12;595
LOAN_000066;V;CUST_00052;4;A;A;28;20260407;11;10;2;20250507;459440;299970;1.85;6167.08;0;0;5.07;311.07;0;1;20250407;;REGION_27;4;5;0.0311;1;1;11;208
LOAN_000067;T;CUST_00053;4;A;A;0;20260426;12;10;2;20250526;93170;89080;2.57;683.28;14.18;101.41;5.20;30.99;0;1;20250426;;REGION_1;4;3;0.0178;1;1;12;506
LOAN_000068;T;CUST_00054;4;A;A;0;20250908;0;1;0;20250908;3550;3070;0;0;0;0;5.49;0;0;1;20250625;;REGION_1;4;9;0.0413;1;1;3;310
LOAN_000069;T;CUST_00005;4;A;A;0;20250908;0;1;0;20250908;20990;23200;0;0;0;0;4.58;0;0;1;20250625;;REGION_5;4;4;0.0382;1;1;5;781
LOAN_000070;V;CUST_00055;4;A;A;0;20250928;2;3;0;20250729;233420;271500;6.98;1614.54;0;0;5.31;91.11;0;1;20250701;;REGION_5;4;9;0.0445;1;1;13;567
LOAN_000071;T;CUST_00056;4;A;A;60;20260407;12;10;2;20250507;122490;91640;1.88;1538.47;14.33;261.00;4.78;82.25;0;1;20250407;;REGION_1;4;8;0.0428;1;1;9;33
LOAN_000072;V;CUST_00004;4;A;A;0;20250729;0;0;0;20250729;30210;31980;0;0;0;0;4.88;0;0;1;20250515;;REGION_4;4;6;0.0408;1;1;13;942
LOAN_000073;T;CUST_00057;4;A;A;0;20260520;10;10;0;20250620;25180;25220;3.33;362.30;0;0;4.93;20.20;0;1;20250520;;REGION_28;4;7;0.0297;1;1;15;24
LOAN_000074;T;CUST_00058;4;A;A;0;20250906;2;2;0;20250709;342720;447990;4.13;13443.28;0;0;5.47;671.58;0;1;20250608;;REGION_29;4;3;0.0129;1;1;1;903
LOAN_000075;V;CUST_00034;4;A;A;0;20250904;0;1;0;20250904;26980;28340;0;0;0;0;5.29;0;0;1;20250621;;REGION_17;4;3;0.0240;1;1;11;708
LOAN_000076;T;CUST_00059;4;A;A;0;20250916;3;2;0;20250719;3300;4000;0;0;15.55;0;5.31;0;0;1;20250618;;REGION_1;4;8;0.0224;1;1;12;135
LOAN_000077;T;CUST_00060;4;A;A;0;20260407;12;10;2;20250507;10650;10530;1.80;192.90;0;0;5.33;8.99;0;1;20250407;;REGION_6;4;3;0.0306;1;1;8;726
LOAN_000078;V;CUST_00037;4;A;A;0;20250807;1;0;0;20250807;10900;10160;0;0;0;0;4.75;0;0;1;20250524;;REGION_1;4;1;0.0373;1;1;9;200
LOAN_000079;T;CUST_00061;4;A;A;20;20260110;8;6;2;20250512;210580;156110;5.26;6790.67;0;0;5.08;339.71;0;1;20250412;;REGION_1;4;8;0.0183;1;1;14;186
LOAN_000080;V;CUST_00019;4;A;A;0;20250901;0;0;0;20250901;25100;26350;0;0;0;0;4.67;0;0;1;20250618;;REGION_13;4;7;0.0174;1;1;5;166
LOAN_000081;T;CUST_00062;4;A;A;0;20251121;5;4;0;20250724;157140;136460;5.61;2889.63;0;0;5.16;136.94;0;1;20250623;;REGION_1;4;5;0.0250;1;1;2;278
LOAN_000082;T;CUST_00063;4;A;A;0;20251225;5;6;0;20250725;45600;49020;2.02;257.99;16.08;33.08;4.61;10.22;0;1;20250627;;REGION_7;4;9;0.0374;1;1;8;221
LOAN_000083;T;CUST_00064;4;A;A;20;20260313;12;8;2;20250411;69360;54130;2.08;1035.92;15.53;142.42;4.84;58.10;0;1;20250313;;REGION_17;4;8;0.0105;1;1;5;456
LOAN_000084;T;CUST_00005;4;A;A;0;20250908;1;0;0;20250908;6300;6070;0;0;0;0;5.20;0;0;1;20250625;;REGION_5;4;5;0.0216;1;1;12;185
LOAN_000085;V;CUST_00065;4;A;A;0;20250923;2;3;0;20250725;212830;220930;5.70;4240.14;0;0;4.89;198.13;0;1;20250625;;REGION_6;4;3;0.0370;1;1;6;544
LOAN_000086;T;CUST_00005;4;A;A;0;20250913;0;0;0;20250913;24720;20900;0;0;0;0;5.46;0;0;1;20250630;;REGION_5;4;9;0.0178;1;1;1;543
LOAN_000087;V;CUST_00052;4;A;A;0;20250929;2;3;0;20250730;865740;961760;3.16;1971.35;0;0;4.82;97.72;0;1;20250702;;REGION_27;4;4;0.0240;1;1;7;8
LOAN_000088;T;CUST_00005;4;A;A;0;20250906;1;1;0;20250906;15880;17820;0;0;0;0;5.31;0;0;1;20250623;;REGION_5;4;3;0.0326;1;1;3;257
LOAN_000089;V;CUST_00001;4;A;A;0;20250906;1;1;0;20250906;41130;40180;0;0;0;0;5.27;0;0;1;20250623;;REGION_1;4;2;0.0173;1;1;13;827
LOAN_000090;T;CUST_00066;4;A;A;0;20260328;8;9;0;20250726;19300;22000;3.31;133.44;14.71;19.46;4.94;6.88;0;1;20250628;;REGION_6;4;6;0.0296;1;1;14;685
LOAN_000091;V;CUST_00014;4;A;A;0;20250901;0;0;0;20250901;19560;25270;0;0;0;0;5.28;0;0;1;20250618;;REGION_1;4;10;0.0180;1;1;10;113
LOAN_000092;T;CUST_00067;4;A;A;0;20260409;12;10;1;20250509;105020;95200;4.57;3173.10;0;0;5.12;194.05;0;1;20250409;;REGION_20;4;3;0.0405;1;1;10;560
LOAN_000093;T;CUST_00068;4;A;A;23;20260108;9;7;3;20250410;112860;88300;4.85;2972.71;0;0;4.65;141.66;0;1;20250310;;REGION_10;4;8;0.0463;1;1;14;563
LOAN_000094;T;CUST_00069;4;A;A;0;20251224;5;6;0;20250725;12350;12610;1.93;59.07;13.66;9.99;4.72;3.54;0;1;20250626;;REGION_1;4;10;0.0162;1;1;14;251
LOAN_000095;T;CUST_00002;4;A;A;0;20250911;1;0;0;20250911;48670;40380;0;0;0;0;5.39;0;0;1;20250628;;REGION_2;4;7;0.0182;1;1;12;565
LOAN_000096;T;CUST_00070;4;A;A;52;20260409;13;10;1;20250509;155370;134400;1.82;1638.70;0;0;5.36;93.07;0;1;20250409;;REGION_18;4;7;0.0221;1;1;15;318
LOAN_000097;T;CUST_00071;4;A;A;0;20251221;6;5;0;20250724;248750;278910;4.87;4726.17;0;0;5.46;196.60;0;1;20250623;;REGION_6;4;6;0.0156;1;1;6;164
LOAN_000098;V;CUST_00034;4;A;A;0;20250904;0;1;0;20250904;30240;24040;0;0;0;0;4.63;0;0;1;20250621;;REGION_17;4;2;0.0352;1;1;10;871
LOAN_000099;V;CUST_00047;4;A;A;0;20250901;0;1;0;20250901;47850;43190;0;0;0;0;5.12;0;0;1;20250618;;REGION_1;4;7;0.0393;1;1;8;983
LOAN_000100;T;CUST_00072;4;A;A;0;20260415;12;10;2;20250515;150890;157000;2.96;2955.79;15.59;425.66;4.75;119.41;0;1;20250415;;REGION_9;4;8;0.0368;1;1;12;845
LOAN_000101;V;CUST_00073;4;A;A;61;20250908;5;2;3;20250410;90420;49330;5.72;2339.84;0;0;4.78;122.41;0;1;20250310;;REGION_1;4;1;0.0476;1;1;2;360
LOAN_000102;T;CUST_00074;4;A;A;0;20260311;11;8;2;20250411;387640;333650;2.23;4837.75;14.61;881.27;5.49;275.14;0;1;20250311;;REGION_6;4;6;0.0233;1;1;14;806
LOAN_000103;T;CUST_00075;4;A;A;0;20250817;2;2;0;20250718;329510;258390;6.27;10514.80;0;0;4.87;554.46;0;1;20250619;;REGION_22;4;6;0.0273;1;1;2;57
LOAN_000104;V;CUST_00001;4;A;A;0;20250913;1;1;0;20250913;6840;7690;0;0;0;0;5.20;0;0;1;20250630;;REGION_1;4;3;0.0256;1;1;1;679
LOAN_000105;T;CUST_00076;4;A;A;57;20260409;12;9;1;20250509;151210;113870;1.87;2178.00;0;0;5.30;97.07;0;1;20250409;;REGION_1;4;3;0.0388;1;1;14;614
LOAN_000106;V;CUST_00077;4;A;A;0;20250907;2;3;0;20250710;438770;344320;6.14;20164.70;0;0;5.50;1006.85;0;1;20250609;;REGION_1;4;4;0.0124;1;1;;356
LOAN_000107;T;CUST_00078;4;A;A;0;20250815;1;2;0;20250718;193950;188760;5.33;5047.84;0;0;4.58;242.29;0;1;20250617;;REGION_6;4;8;0.0477;1;1;;323
LOAN_000108;T;CUST_00079;4;A;A;57;20260407;11;9;2;20250507;210850;195820;1.66;3144.38;0;0;5.25;158.62;0;1;20250407;;REGION_1;4;10;0.0155;1;1;;567
LOAN_000109;V;CUST_00080;4;A;A;0;20251225;5;6;0;20250725;246470;275520;6.26;4085.57;0;0;5.29;208.08;0;1;20250627;;REGION_30;4;2;0.0376;1;1;;725
LOAN_000110;V;CUST_00034;4;A;A;0;20250902;1;0;0;20250902;16490;16040;0;0;0;0;4.61;0;0;1;20250619;;REGION_17;4;9;0.0366;1;1;;978
LOAN_000111;T;CUST_00081;4;A;A;0;20251127;5;5;0;20250728;62120;60310;5.10;478.31;0;0;4.58;21.56;0;1;20250630;;REGION_7;4;1;0.0350;1;1;;9
LOAN_000112;T;CUST_00005;4;A;A;0;20250902;1;1;0;20250902;24330;20450;0;0;0;0;5.28;0;0;1;20250619;;REGION_5;4;4;0.0458;1;1;;33
LOAN_000113;V;CUST_00082;4;A;A;0;20250824;1;0;0;20250824;22050;20570;0;0;0;0;5.13;0;0;1;20250610;;REGION_31;4;4;0.0284;1;1;;466
LOAN_000114;T;CUST_00083;4;A;A;0;20260409;13;9;1;20250509;157990;131880;1.83;1782.64;15.18;296.88;5.10;102.54;0;1;20250409;;REGION_1;4;9;0.0153;1;1;;59
LOAN_000115;T;CUST_00084;4;A;A;63;20260205;10;8;1;20250507;92830;89480;1.63;1488.52;15.60;182.16;5.30;59.81;0;1;20250407;;REGION_6;4;1;0.0240;1;1;;21
LOAN_000116;T;CUST_00005;4;A;A;0;20250902;0;1;0;20250902;35240;34610;0;0;0;0;5.50;0;0;1;20250619;;REGION_5;4;1;0.0321;1;1;;329
LOAN_000117;T;CUST_00085;4;A;A;0;20260227;8;8;0;20250728;17980;18860;3.67;76.00;0;0;4.73;4.30;0;1;20250630;;REGION_4;4;3;0.0241;1;1;;527
LOAN_000118;V;CUST_00014;4;A;A;0;20250907;1;1;0;20250907;9800;9340;0;0;0;0;5.48;0;0;1;20250624;;REGION_1;4;8;0.0147;1;1;;485
LOAN_000119;V;CUST_00019;4;A;A;0;20250904;1;1;0;20250904;5140;5300;0;0;0;0;4.82;0;0;1;20250621;;REGION_13;4;4;0.0373;1;1;;540
LOAN_000120;T;CUST_00086;4;A;A;0;20260324;13;9;3;20250424;67590;58340;6.16;1478.06;0;0;4.54;68.98;0;1;20250324;;REGION_4;4;2;0.0413;1;1;3;964
LOAN_000121;T;CUST_00054;4;A;A;0;20250908;1;0;0;20250908;4980;5860;0;0;0;0;4.96;0;0;1;20250625;;REGION_1;4;9;0.0100;1;1;7;380
LOAN_000122;V;CUST_00087;4;A;A;59;20260407;12;10;1;20250507;192610;151800;1.83;2783.68;0;0;4.86;148.02;0;1;20250407;;REGION_4;4;2;0.0437;1;1;14;231
LOAN_000123;V;CUST_00088;4;A;A;0;20250911;1;1;0;20250911;15520;11720;0;0;0;0;5.04;0;0;1;20250628;;REGION_28;4;5;0.0141;1;1;6;799
LOAN_000124;T;CUST_00005;4;A;A;0;20250914;1;1;0;20250914;5410;5700;0;0;0;0;5.10;0;0;1;20250701;;REGION_5;4;8;0.0463;1;1;9;823
LOAN_000125;T;CUST_00089;4;A;A;0;20250909;0;0;0;20250909;10650;9310;0;0;0;0;5.09;0;0;1;20250626;;REGION_1;4;1;0.0462;1;1;13;726
LOAN_000126;V;CUST_00013;4;A;A;0;20250907;0;1;0;20250907;14280;16390;0;0;0;0;5.38;0;0;1;20250624;;REGION_9;4;7;0.0178;1;1;11;848
LOAN_000127;T;CUST_00090;4;A;A;15;20260321;11;8;2;20250421;86830;88530;2.61;894.85;0;0;4.82;56.62;0;1;20250321;;REGION_22;4;3;0.0388;1;1;3;777
LOAN_000128;T;CUST_00091;4;A;A;0;20260328;12;8;2;20250425;282130;221990;2.86;1805.68;0;0;4.53;112.41;0;1;20250328;;REGION_9;4;9;0.0459;1;1;7;131
LOAN_000129;T;CUST_00092;4;A;A;0;20260510;11;11;1;20250610;193110;183050;3.33;4750.53;0;0;4.65;261.64;0;1;20250510;;REGION_8;4;4;0.0339;1;1;8;384
LOAN_000130;T;CUST_00093;4;A;A;53;20260317;10;8;2;20250417;370770;275460;2.82;5530.38;0;0;5.25;277.64;0;1;20250317;;REGION_32;4;1;0.0155;1;1;8;579
LOAN_000131;V;CUST_00047;4;A;A;0;20250907;1;0;0;20250907;22990;17070;0;0;0;0;4.93;0;0;1;20250624;;REGION_1;4;7;0.0352;1;1;3;694
LOAN_000132;T;CUST_00094;4;A;A;0;20260317;11;9;3;20250417;185710;143600;2.68;2679.98;0;0;4.63;124.94;0;1;20250317;;REGION_22;4;5;0.0357;1;1;6;146
LOAN_000133;V;CUST_00004;4;A;A;0;20250816;1;0;0;20250816;45050;49830;0;0;0;0;4.76;0;0;1;20250602;;REGION_4;4;3;0.0128;1;1;6;484
LOAN_000134;T;CUST_00095;4;A;A;0;20260112;9;6;1;20250514;139470;127980;2.98;2065.06;0;0;4.55;103.88;0;1;20250414;;REGION_1;4;1;0.0127;1;1;7;982
LOAN_000135;V;CUST_00047;4;A;A;0;20250901;0;0;0;20250901;50290;45710;0;0;0;0;5.49;0;0;1;20250618;;REGION_1;4;9;0.0382;1;1;5;796
LOAN_000136;V;CUST_00034;4;A;A;0;20250904;0;1;0;20250904;36770;38360;0;0;0;0;5.25;0;0;1;20250621;;REGION_17;4;10;0.0262;1;1;7;988
LOAN_000137;T;CUST_00096;4;A;A;0;20251212;5;6;0;20250715;132710;117910;4.73;3703.41;0;0;5.33;213.89;0;1;20250614;;REGION_6;4;10;0.0391;1;1;10;668
LOAN_000138;T;CUST_00097;4;A;A;0;20251224;5;5;0;20250725;44900;38570;2.07;251.74;14.97;31.38;4.71;12.06;0;1;20250626;;REGION_10;4;5;0.0260;1;1;7;196
LOAN_000139;T;CUST_00098;4;A;A;0;20260407;11;10;2;20250507;112260;77980;1.96;1255.26;0;0;5.36;76.31;0;1;20250407;;REGION_9;4;8;0.0151;1;1;14;660
LOAN_000140;T;CUST_00099;4;A;A;71;20251020;7;3;2;20250422;103160;61150;3.09;651.72;0;0;4.75;32.38;0;1;20250322;;REGION_33;4;10;0.0401;1;1;12;
LOAN_000141;T;CUST_00100;4;A;A;0;20250724;1;0;0;20250623;84370;40930;4.62;894.40;0;0;4.64;41.89;0;1;20250523;;REGION_30;4;3;0.0343;1;1;15;
LOAN_000142;V;CUST_00101;4;A;A;0;20251217;5;5;0;20250718;152160;188290;6.21;5140.38;0;0;5.02;282.05;0;1;20250619;;REGION_7;4;5;0.0298;1;1;8;
